Country,Latitude,Longitude
Domestic,-27.3856545,153.1184918
France,46.603354,1.8883335
Spain,39.3260685,-4.8379791
Germany,40.4203479,-79.1166983
United Kingdom,54.7023545,-3.2765753
Australia,-24.7761086,134.755
South Korea,36.638392,127.6961188
Bulgaria,46.7889169,23.6184909
Italy,42.6384261,12.674297
Croatia,45.3658443,15.6575209
Slovenia,46.1199444,14.8153333
New Zealand,-41.5000831,172.8344077
Bolivia,-17.0568696,-64.9912286
Netherlands,52.2434979,5.6343227
Portugal,39.6621648,-8.1353519
Belgium,50.6402809,4.6667145
Mexico,19.4326296,-99.1331785
Argentina,-34.9964963,-64.9672817
Venezuela,8.0018709,-66.1109318
Colombia,4.099917,-72.9088133
Peru,-6.8699697,-75.0458515
Chile,-31.7613365,-71.3187697
Central America,-30.29284845,153.12561585745573
Ecuador,-1.3397668,-79.3666965
Uruguay,-32.8755548,-56.0201525
India,22.3511148,78.6677428
Singapore,1.357107,103.8194992
Taiwan,23.5983227,120.83537694479215
Türkiye,38.9597594,34.9249653
South Africa,-28.8166236,24.991639
United Arab Emirates,24.0002488,53.9994829
Czech Republic,49.7439047,15.3381061
Brazil,-10.3333333,-53.2
Russia/CIS,59.6156642,91.1624528
Iceland,64.9841821,-18.1059013
Austria,47.59397,14.12456
Norway,64.5731537,11.52803643954819
Slovakia,48.7411522,19.4528646
Latvia,56.8406494,24.7537645
Thailand,13.03876215,101.70017611907599
Philippines,12.7503486,122.7312101
Denmark,55.670249,10.3333283
Switzerland,46.7985624,8.2319736
Sweden,44.133435,-70.822678
Greece,43.2097838,-77.6930602
Poland,52.215933,19.134422
Finland,63.2467777,25.9209164
Romania,45.9852129,24.6859225
Serbia and Montenegro,44.819389,20.287765105685885
Lebanon,40.375713,-76.4626118
Hong Kong,22.350627,114.1849161
China,30.047992,-94.3357433
Japan,36.5748441,139.2394179
Malaysia,4.5693754,102.2656823
Kuwait,29.3796532,47.9734174
Ukraine,49.4871968,31.2718321
Hungary,41.9767629,-72.7789842
East Africa,57.719512,11.94776
Nigeria,9.6000359,7.9999721
Lithuania,55.3500003,23.7499997
Estonia,58.7523778,25.3319078
Egypt,35.8681298,-90.9456751
Israel,39.3181528,-79.8109014
Russia,40.2338211,-84.4096729
S/E/W Africa,42.3384936,-3.6960752
Puerto Rico,18.2247706,-66.4858295
Vietnam,15.9266657,107.9650855
Switzerland (German),48.2667198,7.7206311
Switzerland (French),46.94697585,7.4664130152098815
Bahrain,26.0280409,50.55316820508136
Qatar,39.1074426,47.5061085
Switzerland (Italian),46.9481589,7.4414951
Central America+,-30.29284845,153.12561585745573
Ghana,8.0300284,-1.0800271
Indonesia,-2.4833826,117.8902853
Middle East,39.3014159,-76.5888477
Jamaica,18.1850507,-77.3947693
Lesser Antilles,10.443024300000001,-61.26130538878063
Cyprus,34.9174159,32.889902651331866
Pakistan,30.3308401,71.247499
Kenya,1.4419683,38.4313975
Dominican Republic,19.0974031,-70.3028026
Oman,42.2679001,26.9246399
Panama,8.559559,-81.1308434
Jordan,32.3635964,35.561242
Trinidad & Tobago,10.7466905,-61.0840075
Curaçao,12.21339425,-69.0408499890865
Aruba,12.5013629,-69.9618475
Sri Lanka,7.5554942,80.7137847
New Caledonia,-20.63784275,161.21176261225781
Bangladesh,-0.2864982,36.0514231
Morocco,28.3347722,-10.371337908392647
Mauritius,-20.2759451,57.5703566
Reunion,-21.1309332,55.5265771
Tunisia,36.8002068,10.1857757
Djibouti,11.8145966,42.8453061
Paraguay,-23.3165935,-58.1693445
Ethiopia,10.2116702,38.6521203
Czech Republic/Slovakia,49.0684342,17.4617721
South Africa/Nigeria,-26.384396,28.1378089
North Macedonia,41.6171214,21.7168387
Baltic States,56.91732905,24.225800642550052
West Indies,20.0,-70.0
Greece and Cyprus,40.9823313,24.7013451
Palestine,31.7621153,-95.6307891
Lebanon/United Arab Emirates,25.22605135,55.1694227292434
Guatemala,15.5855545,-90.345759
Costa Rica,9.536456900000001,-84.17566257468567
El Salvador,13.8000382,-88.9140683
Honduras,15.2572432,-86.0755145
Nicaragua,12.6090157,-85.2936911
E/W Africa,42.3384936,-3.6960752
Canada,61.0666922,-107.991707
Yugoslavia,23.04123655,-81.52614194734898
Syria,35.8323648,38.5414697
Laos,40.499847,37.670719
Ireland,52.865196,-7.9794599
Mongolia,43.9382593,-79.2235563
Cambodia,3.9767059,-73.1493675
Saudi Arabia,25.6242618,42.3528328
Netherlands Antilles,12.1845,-68.6607922625
Bosnia,44.3053476,17.5961467
Iraq,33.0955793,44.1749775
Malta,35.8885993,14.4476911
