Country,Language
Domestic,English
France,French
Spain,Spanish
Germany,German
United Kingdom,English
Australia,English
South Korea,Korean
Bulgaria,Bulgarian
Italy,Italian
Croatia,Croatian language
Slovenia,Slovenian language
New Zealand,English
Bolivia,Spanish
Netherlands,Dutch
Portugal,Portuguese
Belgium,Dutch
Mexico,Spanish
Argentina,Spanish
Venezuela,Spanish
Colombia,Spanish
Peru,Spanish
Chile,Spanish
Central America,Spanish
Ecuador,Spanish
Uruguay,Spanish
India,Hindi
Singapore,English
Taiwan,Mandarin Chinese
Türkiye,Turkish
South Africa,English
United Arab Emirates,Arabic
Czech Republic,Czech
Brazil,Portuguese
Russia/CIS,Russian
Iceland,Icelandic
Austria,German
Norway,Norwegian
Slovakia,Slovak
Latvia,Lithuanian language
Thailand,Thai
Philippines,Tagalog language
Denmark,Danish
Switzerland,Swiss German
Sweden,Swedish
Greece,Greek
Poland,Polish
Finland,Finnish
Romania,Romanian
Serbia and Montenegro,Serbian language
Lebanon,Arabic
Hong Kong,Cantonese
China,Standard Mandarin
Japan,Japanese
Malaysia,Malay
Kuwait,Arabic
Ukraine,Ukrainian
Hungary,Hungarian language
East Africa,English
Nigeria,English
Lithuania,Lithuanian language
Estonia,Estonian
Egypt,Arabic
Israel,Hebrew
Russia,Russian
S/E/W Africa,English
Puerto Rico,Spanish
Vietnam,Vietnamese
Switzerland (German),Swiss German
Switzerland (French),French
Bahrain,Arabic
Qatar,Arabic
Switzerland (Italian),Italian
Central America+,Spanish
Ghana,English
Indonesia,Indonesian
Middle East,Arabic
Jamaica,English
Lesser Antilles,English
Middle East Other,Arabic
Cyprus,Greek
Middle East/UAE,Arabic
Pakistan,Urdu
Kenya,English
Dominican Republic,Spanish
Oman,Arabic
Panama,Spanish
Jordan,Arabic
Trinidad & Tobago,English
Curaçao,Dutch
Aruba,Dutch
Sri Lanka,Sinhala
New Caledonia,French
Bangladesh,Bengali
Morocco,Arabic
Mauritius,French
Reunion,French
Tunisia,Arabic
Djibouti,French
Paraguay,Spanish
Ethiopia,Amharic
Czech Republic/Slovakia,Czech
South Africa/Nigeria,English
North Macedonia,Macedonian
Russia/CIS/Ukraine,Russian
Baltic States,Estonian
West Indies,English
Greece and Cyprus,Greek
Palestine,Arabic
Lebanon/United Arab Emirates,Arabic
Guatemala,Spanish
Costa Rica,Spanish
El Salvador,Spanish
Honduras,Spanish
Nicaragua,Spanish
E/W Africa,English
Canada,English
Yugoslavia,Serbo-Croatian
Syria,Arabic
Laos,Thai
Ireland,English
Mongolia,Mongolian language
Cambodia,Khmer language
Saudi Arabia,Arabic
Netherlands Antilles,Dutch
Bosnia,Bosnian language
Switzerland (French/Italian),French
Iraq,Arabic
Malta,English
