Name,tconst,Release_Date
sombra verde,tt0132524,1954
hermanas,tt0362718,2005
...and justice for all,tt0078718,1979
las boludas,tt0155561,1993
tesha,tt0019457,1928
rhodes of africa,tt0028176,1936
l'enquête corse,tt0380349,2004
de blanke slavin,tt0064095,1969
l'iguana dalla lingua di fuoco,tt0067236,1971
hip hip hurra!,tt0093194,1987
gritos en la noche,tt0056040,1962
the angels wash their faces,tt0031045,1939
"francesco, giullare di dio",tt0042477,1950
balseros,tt0321376,2002
totò e le donne,tt0045248,1952
romasanta,tt0374180,2004
les bronzés font du ski,tt0078907,1979
misafa lesafa,tt0416984,2004
o auto da compadecida,tt0271383,2000
la guerra la gano yo,tt0121334,1943
cinta pertama,tt1068228,2006
du rififi chez les femmes,tt0052136,1959
live it up!,tt0057504,1963
das schreckliche mädchen,tt0100557,1990
magyar vándor,tt0370919,2004
nenè,tt0076445,1977
mollenard,tt0030457,1938
deliciosamente amoral,tt0194798,1969
los debutantes en el amor,tt0158580,1969
princesas,tt0434292,2005
durval discos,tt0314009,2002
no kidding,tt0053648,1960
caídos en el infierno,tt0178312,1954
neumi,tt0314429,1980
cronaca di un amore,tt0042355,1950
talaash,tt1787988,2012
mo hozue wa tsukanai,tt0079570,1979
lachende erben,tt0024236,1933
ibunda,tt0299605,1986
gwendoline,tt0087903,1984
marie-antoinette reine de france,tt0048355,1956
premier rendez-vous,tt0034063,1941
telokhranitel,tt0171819,1979
clandestino a trieste,tt0043416,1951
two white arms,tt0023630,1932
i was monty's double,tt0051759,1958
il diavolo,tt0056995,1963
school for secrets,tt0038911,1946
vacaciones en el otro mundo,tt0201295,1942
les carabiniers,tt0056905,1963
les uns et les autres,tt0083260,1981
a woman alone,tt0028430,1936
"welcome home, roscoe jenkins",tt0494652,2008
la liceale,tt0073290,1975
mondo hollywood,tt0061988,1967
mr. reliable,tt0117101,1996
mausam,tt0151511,1975
"ah, wilderness!",tt0026046,1935
la guerra del cerdo,tt0072878,1975
the wild and the willing,tt0056696,1962
sinimäed,tt0940766,2006
lettre d'amour zoulou,tt0369664,2004
gonin,tt0113194,1995
le toubib,tt0080038,1979
praznik u sarajevu,tt0193430,1991
hakuchi,tt0043614,1951
no. 2,tt0452345,2006
il leone di amalfi,tt0042673,1950
onibi kago,tt10837638,1957
le infedeli,tt0045910,1953
l'uccello dalle piume di cristallo,tt0065143,1970
arroz con leche,tt0199332,1950
la religieuse,tt0060891,1966
twelve monkeys,tt0114746,1995
anna boleyn,tt0010962,1920
l'inferno,tt0002130,1911
brandos costumes,tt0072731,1975
mozart,tt0048391,1955
sa-kwa,tt0478025,2005
le gai savoir,tt0062997,1969
sukob,tt0757933,2006
helsinki napoli all night long,tt0093178,1987
un secreto de esperanza,tt0316562,2002
shouf shouf habibi!,tt0341578,2004
aiyoku no ki,tt0020624,1930
der untergang,tt0363163,2004
raising the wind,tt0055354,1961
blood orange,tt0045562,1953
der jäger von fall,tt0027833,1936
fanny hill,tt0058088,1964
davitelj protiv davitelja,tt0087123,1984
sol de otoño,tt0117684,1996
penn of pennsylvania,tt0033493,1942
fan chan,tt0399040,2003
long weekend,tt1098356,2008
la cité de la peur,tt0109440,1994
gli specialisti,tt0065026,1969
la ciénaga,tt0240419,2001
kamikaze 1989,tt0084191,1982
furimukeba ai,tt0125108,1978
dama koja ubija,tt0280354,1992
nez de cuir,tt0043837,1952
the seekers,tt0047467,1954
huella,tt0194955,1940
"adiós, abuelo",tt0310578,1996
di que sí,tt0377051,2004
mamiya kyodai,tt0777932,2006
nuestra tierra de paz,tt0192382,1939
cuatro corazones,tt0031193,1939
women of twilight,tt0046558,1952
küçük kovboy,tt0269460,1973
el santo de la espada,tt0064931,1970
parker,tt0086990,1984
crna zorica,tt1679544,2012
de witte waan,tt0137278,1984
bagong buwan,tt0325043,2001
historia de una mala mujer,tt0040441,1948
vstanou noví bojovníci,tt0176303,1951
"harry tracy, desperado",tt0084052,1982
séraphin: un homme et son péché,tt0221013,2002
vampira,tt0071938,1974
aika hyvä ihmiseksi,tt0075647,1977
lo sceriffo che non spara,tt0060970,1965
der schuh des manitu,tt0248408,2001
patayin sa sindak si barbara,tt0332308,1995
cet homme est dangereux,tt0045617,1953
nella stretta morsa del ragno,tt0066132,1971
bibar,tt1397496,2006
eine liebe in deutschland,tt0085843,1983
pierrot le fou,tt0059592,1965
der tiger von eschnapur,tt0052295,1959
pisau cukur,tt1505380,2009
sachein,tt0453201,2005
poklad byzantského kupce,tt0329503,1967
rose bernd,tt0049689,1957
casamiento en buenos aires,tt0178307,1940
christiane f. - wir kinder vom bahnhof zoo,tt0082176,1981
sparsh,tt0079938,1980
les bronzés,tt0077276,1978
intern academy,tt0367232,2004
alvorada,tt0055742,1962
coeur fidèle,tt0013933,1923
walk into paradise,tt0049931,1956
monte carlo baby,tt0043818,1953
valley of eagles,tt0044178,1951
una breve vacanza,tt0069823,1973
